topic,Percent,Percent_Right,Percent_Left
Music,4.1,1.43,8.66
Movies,1.85,1.24,2.89
Sport,1.28,1.17,1.48
Trump,15.81,20.8,7.32
Hillary,4.98,7.15,1.28
Hacking,1.74,2.18,0.99
Sanders,0.66,0.74,0.54
Obama,3.72,5.18,1.24
Election,8.75,11.18,4.61
Voter,2.55,3.06,1.67
Healthcare,1.0,1.17,0.71
Gouvernment,3.15,4.11,1.52
Religion,2.94,3.98,1.17
Conservative,4.59,6.5,1.33
Liberal,2.04,3.07,0.28
Gun,1.6,2.05,0.83
Terrorism,5.57,6.39,4.17
Fear,3.33,3.94,2.29
BlackLivesMatter,9.92,5.47,17.51
MeToo,2.54,2.37,2.83
FakeNews,2.99,3.99,1.27
News,8.26,11.06,3.49
Scandal,1.39,1.61,1.02
Charlottesville,1.77,2.19,1.05
Economy,1.58,1.77,1.24
